message,label
"👊🏾Событие-коллаборация ""Overwatch 2 x One-Punch Man"" оказалось настолько успешным, что Blizzard надеются выпустить еще один подобный коллаб в этом году

«Нам очень понравилась реакция игроков на коллаборацию с One-Punch Man, — рассказал гейм-директор игры Аарон Келлер. — Честно говоря, мы немного волновались, как пройдет такое слияние с другой вселенной. Мы установили определенные правила насчет этих коллабов и, как мы видим, игроки их оценили. Ивент получился настолько популярным, что теперь мы уверены, что будем делать еще такие коллаборации. Мы надеемся, что сможем выпустить еще один масштабный коллаб в этом году».

Ваши догадки: с какой франшизой может быть новый коллаб?",Not Advertisement
"Мир Linux

1. Как установить Ubuntu?
2. Файлы и папки, виртуальная файловая система
3. Пользователи, группы, права доступа
4. Терминал: TTY, PTY, Pipe, Console?
5. Практика по терминалу
6. Команды bash и основные программы

#video #linux

https://www.youtube.com/watch?v=f3ra5HrWt-I&list=PLVBQ16nKzRwpoeYSOS8aV78A6nHJ5V6xX",Not Advertisement
"31 марта МТС собирает крупнейшую в России IT-конференцию TRUE TECH DAY. Почему сейчас? Потому что давно пора показать, что скрывают «под капотом» топовые продукты продвинутых технологичных компаний. Каждый участник конференции протестит на себе true-технологии и испытает новые впечатления, меняющие мир пользователей. 

Что будет: 
→ 7 треков: AI, Main Track, Big Data, Architecture, Cybersecurity, Leading Change, Product Manager.
→ 50+ мировых спикеров с топовыми темами без воды и лирики
→ 10 часов нетворкинга и обмена опытом в Москве, Дубае, Тбилиси и Астане
→ много интерактивных и цифровых зон 
→ а после — грандиозная вечеринка со звездным лайн-апом 

Все спикеры и темы уже на сайте. 
Регистрируйся на True Tech Day по ссылке.
Участие бесплатно",Advertisement
"👨‍💻Кодите на C# и ждете роста?

Научиться разрабатывать на C# сложные клиент-серверные приложения. В OTUS стартует новый поток онлайн-курса «C# Developer. Professional».

Почему стоит пройти курс?
За 6 месяцев обучения вы научитесь разрабатывать сложные клиент-серверные приложения уровня крепкого Middle. 

Результат обучения — полностью реализованный проект по трёхзвенной архитектуре, который вы выполните в Scrum-команде.

Пройдите вступительный тест и получите: 
✔️ Запись мастер-класса о занятиях на курсе
✔️ Доступ к записям всех открытых уроков
✔️ Приглашения на ближайшие мероприятия
✔️ Скидку на прохождение онлайн курса «C# Developer. Professional»-

👉 Не время стоять на месте! Пройдите вступительный тест, чтобы понять, подходит ли вам курс https://otus.pw/NWeO/

Реклама. Информация о рекламодателе на сайте www.otus.ru",Advertisement
"Если вам нужен английский для работы в IT, то и изучать его лучше с теми, кто разбирается в теме. Не надо тратить время на беседы о погоде и отношениях, а сразу берите фокус на английский для stand-up meetings, code review, bug reports.

А помогут в этом ребята из Across English, у них 12 лет опыта в этом. Выбирайте из четырёх тематических курсов:
🔸 Английский для технических специалистов
🔸 Английский для проектного управления в области IT
🔸 Английский для внедрения и разработки ERP-систем
🔸 Английский для собеседований в области IT

А еще у них проходят бесплатные встречи-вебинары на английском, на которых ребята из IT делятся опытом релокации в различные страны.

На своём канале они делятся анонсами встреч, полезными материалами и штуками на тему английского языка для IT. 

Подписывайтесь → @across_english",Advertisement
"📍 Начни изучать C# с 0 и практикой в команде разработчиков!

👉 Приглашаем вас на бесплатный урок для новичков по C#.
Тема урока: Как выучить C# с нуля
На открытом уроке мы разберемся, как можно изучить С# с нуля и какие актуальные ресурсы лучше всего использовать новичку.

📌  Продолжить изучать C#-разработку вы сможете на курсе, который доступен в рассрочку до 12400 ₽ в месяц

👉Для участия зарегистрируйтесь по ссылке https://otus.pw/TcHHQ/
Реклама. Информация о рекламодателе на сайте www.otus.ru",Advertisement
"Weekend Offer для бэкенд-разработчиков 1–2 апреля
 
Устройтесь в Яндекс за два дня с Weekend Offer Backend. Решите тестовое, 1 апреля пройдите две секции, а уже 2 апреля получите офер.

В мероприятии участвуют разные команды и сервисы: можно пообщаться с командами и выбрать то, что вам больше подходит. Работать можно в смешанном режиме из любого офиса или коворкинга в 20 городах России и мира. Условия работы обсуждаются с каждым разработчиком индивидуально.

Ищем инженеров с опытом коммерческой разработки от трёх лет на  Java, Python, Go, C++ или Scala. Ждём и тех, кто готов работать на этих языках.

Зарегистрироваться",Advertisement
"Разработчику, конечно, не нужно быть экспертом по K8s, чтобы запустить в нем ИТ-проект, но азы помогут понять, как живет приложение в контейнеризированной среде.

Поэтому приглашаем ваc на вебинар «Основы Kubernetes: секреты от #CloudMTS», где вы узнаете: 
• Что такое cloud-native и микросервисная архитектура.
• Как устроена оркестрация контейнеров и какие с ней бывают сложности.
• Как сервис для управления кластерами Kubernetes в облаке #СloudMTS решает эти сложности.

13 марта в 11:00 мск, online 
Зарегистрироваться → http://bit.ly/3YvUOVM

Реклама. Рекламодатель ПАО «МТС», ИНН 7740000076",Advertisement
"🎁 Приглашаем на бесплатный урок по C# для разработчиков с опытом. Занятие приурочено к старту онлайн-курса «C# Developer. Professional» в OTUS. 

📆 28 марта в 20:00
Тема: Пишем с нуля Event Loop на блокирующих очередях

🔄 Что будет на занятии?
— Разработаем многопоточный сервер приложений с минимум примитивов синхронизации. 
— Рассмотрим вопросы синхронизации, масштабируемости приложения, обработку входящих сообщений, вопросы реализации длительных операций.

👍 Спикером выступит Евгений Тюменцев, директор компании по разработке программного обеспечения. Этот вебинар — лишь часть курса «C# Developer. Professional», продолжить обучение можно в рассрочку. 

👉 Для регистрации на урок пройдите вступительный тест

Реклама. Информация о рекламодателе на сайте www.otus.ru",Advertisement
"Skillbox дарит 6 месяцев бесплатного обучения интернет-профессиям с гарантией трудоустройства.

Список профессий участвующих в акции:

Интернет-маркетолог (зп 120 000₽)
SMM-маркетолог (зп 150 000₽)
Веб-дизайнер (зп 140 000₽)
Графический дизайнер (зп 80 000₽)
Data Engineer (зп 190 000₽)
Data Analyst (зп 285 000₽)
Data Scientist PRO (зп 200 000₽)
Java-разработчик (зп 150 000₽)
Разработчик игр на Unity (зп 120 000₽)
Тестировщик ПО (зп 165 000₽)

Приобретение обучения гарантирует трудоустройство, или Skillbox вернет деньги!

⚠️Акция действительна только по ссылкам в посте. Срок окончания акции 25 марта 2023 года.",Advertisement
"🔥Geekbrains анонсировали бесплатное обучение по нейросетям.

С 8 по 9 апреля стартует двухдневный онлайн-интенсив «Путь в IT: Практикум», на котором вас ждёт:

— Первый день: Обучение нейросетям и соревнование по скоропечатанию на клавиатуре с ценными призами.
— Второй день: Живой урок по программированию на Python и розыгрыш на 500 000 рублей.

ChatGPT-4 уже многих оставил без работы, научитесь программировать нейросети и вам это не грозит: https://clck.ru/33rAXU",Advertisement
"Скоро станет доступно новое обновление в Google Картах

Мы получим полномасштабные 3D модели различных городов, который улучшат наше восприятие с окружающим миром.",Not Advertisement
"Умер сооснователь Intel Гордон Мур. Ему было 94 года.

Именно он сформулировал «закон Мура»: в 1965 году Мур предположил, число транзисторов в процессорах будет удваиваться каждые 12 месяцев, позднее — каждые 24 месяца.",Not Advertisement
"🌍 ВНИМАНИЕ ВСЕМ ЛЮБИТЕЛЯМ НАУКИ! 🌍
Вы знали, что в телеграмм, есть канал, который собрал множество удивительных фактов о нашей планете?

Планета в цифрах - то, что нужно умным и креативным людям для расширения знаний и понимания мира.

💡У нас вы найдете нестандартные факты о планете, которые помогут лучше понимать Планету и ее ресурсы.
Планета в цифрах - канал для тех, кто любит узнавать новое и не обычное.

Подписывайтесь на канал Планета в цифрах и узнавайте о нашей планете вместе с нами! 🚀🌌",Advertisement
"Друзья, делюсь с вами интересными Детскими каналами с Мультфильмами
 
🧸 @detskiymira 
Воспитательные мультфильмы, для детей любого возраста

🦄 @razvitie_igra 
Мультики для самых-самых маленьких детей

🐝 @Xata_Vedm 
Лучшие Советские и отечественные мультфильмы времён СССР

🏰 @DisneyForKids
 Мультики от Диснея, сериалы и полнометражные

🦋 @pritchabest 
Детские увлекательные и поучительные притчи для правильного понимания мира",Advertisement
"⚡️Его пациенты не знают что такое онкология и инсульт !

Как прожить более 100 лет - секрет долголетия раскрыл 128 - летний житель Таиланда!

Орн Пханчомпху из династии врачевателей из Таиланда, в которой никто не умер раньше 100 лет !  Орн Пханчомпху бесплатно вылечил более 10 тысяч людей, НИ РАЗУ не применив таблетки, антибиотики и прочие аптечные яды.

Теперь его ученик, который прожил в его поселении более 20 лет, 
ведет Канал «Панацея из Таиланда»

Канал  собрал все постулаты Пханчомпху, с которыми вы легко доживете до глубокой старости в здравии:

➤ Какой Тайский элексир убивает 99% раковых клеток в организме? [в аптеке такого не найдешь]

➤ Рак пахнет! Вот 7 способов отличить онко заболевания по запаху [инструкция]

➤ Тайская мазь, которая на 100% справляется с болью в суставах и мышцах [способ приготовления]

➤ НЕ СТОИТ БОЯТСЯ ОНКОЛОГИИ: достаточно знать эти простые вещи [подробности] [читать статью]

Подпишитесь,  на канал «Панацея из Таиланда» – это прекрасно!",Advertisement
"🙌🏽 Будь в фокусе всех новостей!

 Тут ты расширишь свой кругозор на 200% 

-Что сейчас происходит внутри страны
-Какие новые заведения столицы, открыли для тебя двери
-Театры, Кино, Концерты готовы порадовать тебя в любой день
-Инновации из мира технологий и носимых устройств

PRO Москва - канал , где честно и без обмана тебе расскажут обо всей изнанке столицы России",Advertisement
"Приключения айтишника с кошкой за границей 🐱✈️

Фёдор схватил кошку, сел в самолёт и улетел, куда глаза глядят. А теперь обживается в новой стране, работает над своими проектами и делится впечатлениями.

Заходи в канал Фёдора с кошкой!",Advertisement
"Я уже построил свой дом! Хочешь такой же?

Время строить – канал благодаря которому я узнал:

🔹 хитрости для постройки дома своей мечты

🔹 способы экономии на ремонтных работах

🔹 как не про#бать свои накопления

В этом телеграмм канале есть всё, что ты ищешь 👍",Advertisement
"🔹DEAL  - это проект, обозревающий актуальные бизнес идеи, тонкости ведения бизнеса и подводные камни разных ниш. 

Если вы в поиске дела всей вашей жизни, то наш проект будет вам полезен!

Подписывайтесь , выбирайте идею и действуйте!",Advertisement
"🆒Создаём приложение-таймер за 60 минут с использованием MVVM, StateFlow и Coroutines со звуковой сигнализацией и вибрацией

— 23 марта в 20:00 мск на бесплатном вебинаре мы создадим приложение для варки яиц до определенной степени готовности. Выбираем степень готовности, приложение показывает необходимое время и при нажатии на кнопку начинает отсчет. По истечение времени приложение подает звуковой сигнал и вибрирует.

Итого — рассмотрим устройство простого Android-приложения. Разберем современную архитектуру MVVM с использованием Coroutines и StateFlow. В результате создадим приложение, полезное в быту.

👉 Будет полезно тем, кто начинает изучать Android и хочет познакомиться с онлайн-курсом по Android на Kotlin с нуля получше.

Регистрируйтесь сейчас — напомним перед вебинаром: https://otus.pw/b8BO/

Реклама. Информация о рекламодателе на сайте www.otus.ru",Advertisement
"Spot on: Android 14 adds highlights to TextViews

В Android 14 появится возможность выделять текст в TextView. Аналогично тому, как мы сейчас делаем через Spannable.setSpan().

Где-то в чатиках видел, что некоторым не зашло, но мне кажется это будет гораздо удобней, чем через span.

Дока тут → Highlights

Читать (En)",Not Advertisement
"Приглашаю вас на мой бесплатный вебинар – “Как нормализовать вес по методу
«Питание + Очищение + Восстановление»""

⏩ Зарегистрироваться >>

Этот вебинар для тех, у кого:

— Проблемы с лишним весом: диеты и тренировки имеют кратковременный эффект
— Проблемы дефицита веса: когда вес медленно набирается или стоит на месте
— Проблемы кишечника: вздутие живота, запоры, диареи, боли и спазмы внизу
живота, неприятные запахи тела, высыпания по телу

Что обсудим:

— ТОП-3 способа которые не помогут похудеть, но могут нанести психологическую
травму
— Что действительно влияет на набор веса и что с этим делать
— 30+ проблем со здоровьем, напрямую влияющих на набор лишних КГ
— Гарантированное снижение веса по методу «Питание + Очищение +
Восстановление»
— Алгоритм безопасного очищения и восстановления организма

Если вы хотите узнать как быстро и правильно нормализовать вес обязательно
регистрируйтесь по ссылке ниже!

⏩ Зарегистрироваться >>

До встречи в эфире!",Advertisement
"💐 Пройди 1 минутный тест и получи индивидуальный план питания на 30 дней!

Интересно? Жми 👉 https://clicktvf.com/Cy8A",Advertisement
"Exploring Kotlin’s Context Receivers

Еще одна отличная статья с подробным разбором фичи Context Receivers в Kotlin и примерами использования.

Читать (En)",Not Advertisement
"В одном далёком умном городе что-то пошло не так… 

Кибератаки, вредоносы, сбои в системе — жители города не могут справиться с этими проблемами в одиночку. Помогите им в игре от Kaspersky и Tproger. Активируйте свои знания в С++ и покажите их в действии:

https://tprg.ru/KIDy

Реклама АО «Лаборатория Касперского»",Advertisement
"​Гарантия минимальной зарплаты и оплата обучения после получения оффера. Хотите?

Kata уже выпустила более полутора тысяч студентов, которые получили работу и стали разработчиками. Теперь ваша очередь!

Начать учиться может любой, ведь опытный наставник поможет не запутаться, а оплата обучения после трудоустройства даёт возможность не переживать о деньгах и сосредоточиться на получении знаний.

Оставляйте заявку на поступление и получите новую профессию уже в этом году:
https://tprg.ru/1Gn6

Реклама ИП Севостьянов Герман Дмитриевич",Advertisement
"​Хотите точечно прокачать свои знания в тех или иных аспектах разработки?

Тогда можно заглянуть на канал AvitoTech на YouTube, где опытные инженеры Авито делятся знаниями и рассказывают про свои рабочие инструменты.

В свежем выпуске avito.code frontend-разработчик компании объясняет, чем отличается Dependency Injection от Dependency Inversion и как его использовать на фронте.

Смотреть: https://bit.ly/3w6JaVN

Реклама Реклама ООО «Авито Тех» LjN8K9UAr",Advertisement
"​Стартануть в IT быстро и эффективно можно с подготовительным курсом по frontend-разработке

В рамках обучения вас ждут 72 урока с практикой в браузере, 3 онлайн-вебинара и 1 сессия лайвкодинга с практикующим разработчиком.

По итогу вы получите крепкие знания основ JavaScript, умение понимать код и первую программу, написанную вместе с наставником. Старт уже 19 января!

Узнать подробности и записаться можно перейдя по ссылке: https://clck.ru/33Hkmr

Реклама ООО «Хекслет Рус» LjN8KLreB",Advertisement
"​Хотите обучиться IT-специальности, но боитесь что потратите деньги зря ради «пробы пера»? 

Специально для новичков, GeekBrains открыл бесплатный доступ к лекциям и практикуму из программы стоимостью 23 500 рублей. Вы сможете изучить основы программирования, получить базу для любой цифровой профессии и попробовать себя в топовых IT-специальностях не заплатив ни рубля.

Набор ещё идёт, поэтому успейте получить доступ: https://tprg.ru/Qvoy

Реклама ООО «Гикбреинс»",Advertisement
"Если вы — мобильный разработчик уровня middle+ из России, у тебя есть шанс выиграть один из пяти крупных денежных призов на чемпионате IT_ONE Cup. Mobile

В апреле 2023 фонд «Сколково» и IT_ONE проводят масштабный чемпионат для разработчиков на iOS и Android. У участников будет возможность проверить навыки в решении как привычных, так и нестандартных задач.

Победители разделят призовой фонд чемпионата — 520 000 рублей. Лучшие участники получат шанс присоединиться к команде IT_ONE — компании профессионалов, работающих над крупными коммерческими и государственными проектами.

Чемпионат пройдёт в два этапа. Основной раунд — соревновательный, где приложения участников будут конкурировать между собой в условиях игрового мира. Финалистов ждёт проверка теоретических знаний в виде вопросов по технологиям разработки. 

Регистрация открыта до 16 апреля 2023 года.

Подробности на странице чемпионата: https://vk.cc/cmvcvA

Реклама ООО ""ВК"" ИНН 7743001840",Advertisement
"​Ещё не используете статический анализатор кода? Тогда мы идём к вам!

Обычно ошибки и уязвимости в коде можно искать вручную. Но если приходится отлаживать сложный код или цена пропущенной ошибки слишком высока, гораздо проще использовать специальные инструменты. Например, статический анализатор кода. Он «изучает» код без его реального выполнения и делает это подробнее, чем компилятор, который обычно находит только синтаксические ошибки.

А статический анализатор кода PVS-Studio делает ещё больше: он улучшает качество, защищенность (SAST), безопасность кода, находит ошибки и потенциальные уязвимости. PVS-Studio поддерживает C, C++, C#, Java и работает на Windows, macOS и Linux.

На сайте есть ознакомительная версия на 7 дней, а по промокоду tproger можно получить полноценную 30-дневную лицензию!

Просто попробуйте PVS-Studio в работе, и написание и отладка кода станет гораздо проще и точнее: https://tprg.ru/KdWI

Реклама ООО «ПВС» LjN8Jy2Lh",Advertisement
"​Представляете сколько получают IT-шники? Причём даже те, кто вообще не умеют программировать и за всю жизнь ни строчки кода не написали

Средняя зп в IT — 140 тыс. (по данным HH). Новички получают от 70 тыс. При этом имеют кучу льгот, удалёнку и свободный график.

Сейчас IT-компании готовы брать даже совсем зелёных новичков, без дипломов и опыта работы. И таким новичком можете стать вы.

Сегодня стартует бесплатный марафон! Приходите  чтобы узнать как попасть в крупную IT-компанию, пообщаться с профессионалами об их опыте и разобраться в том, какая именно профессия вам подходит: https://tprg.ru/FAEh

Реклама ОАНО ДПО «Скаэнг»",Advertisement
"​Совсем скоро пройдёт одна из крупнейших конференций по PostgreSQL в России!

PGConf.Russia 2023 — это юбилейная десятая конференция российского сообщества PostgreSQL. Больше 700 разработчиков, администраторов баз данных и IT-специалистов соберутся для обмена опытом.

В программе — доклады в два потока в течение двух дней, блиц-доклады из зала, живое общение на кофе-брейках и фуршете.

Когда: 3-4 апреля 2023
Где: БЦ «Рэдиссон Славянская», Москва
Формат: офлайн/онлайн.

Регистрируйтесь по ссылке: https://pgconf.ru/2023

Реклама ООО «ППГ» LjN8K7hpM",Advertisement
"ЧТО ПРОИЗОШЛО С ЯНДЕКСОМ?

Большая корпорация, как обычно, попыталась прогнуть маленьких партнёров за счёт ""имени"". 

Мы 3 месяца бесплатно разрабатывали курс, я бесплатно отчитывал лекции, а команда менторов ЯЮниор за мой счёт помогала ученикам. 

Нашим проектам взамен должны были помочь на Яндекс.Играх, сейчас ответственный менеджер заявляет, что никаких договорённостей не было и ""вы всё не так поняли"". 

Тогда у меня возникают вопросы: 
1) Почему мы работали несколько месяцев бесплатно? 
2) Почему, когда были торги про количество менторов для курса, были организованы созвоны и даны конкретные обещания? 
3) Почему, когда через месяц после начала не было ничего сделано, и я на совещании сказал об этом, то вы засуетились и начали делать так, как мы договаривались? 

Договорённостей же не было? Или были, но кто-то всё-таки их прое*ал, а теперь спасает свою жопу? 

Там не шло речи о каких-то преференциях, если игра слабая, то толкать её никуда не надо. Мы просили: дайте нам прозрачную аналитику, помогите с аудитом монетизации в играх, давайте подумаем, как лучше интегрировать InApp платежи, как лучше закупать к вам на платформу трафик, как оптимизировать промо-материалы. 

Если игры не понравились и вы не хотите с нами работать - ну так и скажите, и мы пойдём своей дорогой. Зачем морозить? Зачем требовать от нас нашу работу, а самим при этом ничего не делать? 

Я в терпилу играть не собираюсь, поэтому мы снимаем всю команду менторов, и курс я продолжать не собираюсь. 

Да, я потерял на этой истории несколько миллионов рублей, но заработаю еще, это не проблема. Я даже не обижаюсь, потому что в такой большой компании по-любому будет абсолютно неадекватный ""Менеджер специальных проектов"", который кроме как врать и переобуваться ничего больше не умеет. 

Во всей этой истории мне жалко учеников, которые начали обучение, а оно сейчас прерывается на такой неприятной ноте. Я не хочу, чтобы было так, поэтому на днях бесплатно планирую выложить весь курс на YouTube и для всех желающих сделать бесплатное менторство на 1 неделю. 

Что думаете?",Not Advertisement
"​Какими навыками должен обладать IT-архитектор — специалист, отвечающий за проектирование функциональных частей продукта? 

Расскажет Владимир Григорьев, архитектор стрима «Розничный Миддл», на ближайшей лекции Digital Лектория Газпромбанка.

Когда: 2 марта, 18:00 (по МСК)

О чем: об истории и причинах появления специальности ИТ-архитектора, разных видах специалистов и требованиях к ним, рабочих задачах и организации работы, а также роли ИТ-архитекторов в Газпромбанке.

Присоединяйтесь к лекции, чтобы узнать больше о профессии IT-архитектора. Регистрация открыта: https://tprg.ru/Vokr

Реклама Банк ГПБ (АО) LjN8KKAUQ",Advertisement
"​Какими навыками должен обладать IT-архитектор — специалист, отвечающий за проектирование функциональных частей продукта? 

Расскажет Владимир Григорьев, архитектор стрима «Розничный Миддл», на ближайшей лекции Digital Лектория Газпромбанка.

Когда: 2 марта, 18:00 (по МСК)

О чем: об истории и причинах появления специальности ИТ-архитектора, разных видах специалистов и требованиях к ним, рабочих задачах и организации работы, а также роли ИТ-архитекторов в Газпромбанке.

Присоединяйтесь к лекции, чтобы узнать больше о профессии IT-архитектора. Регистрация открыта: https://tprg.ru/Vokr

Реклама Банк ГПБ (АО) LjN8KKAUQ",Advertisement
"​Какими навыками должен обладать IT-архитектор — специалист, отвечающий за проектирование функциональных частей продукта? 

Расскажет Владимир Григорьев, архитектор стрима «Розничный Миддл», на ближайшей лекции Digital Лектория Газпромбанка.

Когда: 2 марта, 18:00 (по МСК)

О чем: об истории и причинах появления специальности ИТ-архитектора, разных видах специалистов и требованиях к ним, рабочих задачах и организации работы, а также роли ИТ-архитекторов в Газпромбанке.

Присоединяйтесь к лекции, чтобы узнать больше о профессии IT-архитектора. Регистрация открыта: https://tprg.ru/Vokr

Реклама Банк ГПБ (АО) LjN8KKAUQ",Advertisement
"Аарон Келлер рассказал о главных изменениях, которые ждут Соревновательную игру в 4 сезоне

• С 4 сезона из игры уберут частичный сброс рейтинга в начале каждого рейтингового сезона.
• У игроков будет более четкое видение того, как меняется их рейтинг от сезона к сезону. Можно будет посмотреть свой прогресс на пути к новому рангу и все победы и поражения.

«Мы по-прежнему обсуждаем систему сброса рейтинга, — поделился Келлер. —Возможно, ей есть место в OW2, но в какой-то другой форме. Что, если делать частичный сброс рейтинга после какого-то долго срока (например, раз в год?) и только после того, как в игре или соревновательной системе произошли какие-то серьезные изменения?

Кроме того, мы думаем, как дать игрокам больше информации про общий рейтинг команд и их баланс. На данный момент мы решили, что не будем по умолчанию показывать индивидуальный рейтинг отдельного игрока»",Not Advertisement
"Using the plugin pattern in a modularized codebase

Хороший пример использования паттерна Plugin в многомодульных проектах для меньшей связности между модулями.

Читать (En)",Not Advertisement
"7 Jetpack Compose Projects to Become a Better Android Developer

Еще одна подборка проектов реализованных на Jetpack Compose, перенять опыт и прокачать скилл.

👉 Tivi
👉 Stack
👉 CoffeeDrinks
👉 Newzz
👉 JetSpotify
👉 JetDelivery
👉 RickNMortyCompose

Читать (En)",Not Advertisement
"20 мая пройдет Naumen Java Meetup, на котором поговорим о промышленной разработке java-приложений.

А также расскажем:
☕️Как пошагово внедрять SonarQube в существующий проект.
☕️Какие особенности возникают при разработке структуры БД для использования с JPA/Hibernate, а также выберем наиболее подходящий процесс разработки слоя доступа к данным.
☕️ Как не оказаться в неприятной ситуации, когда начнете разгонять свое приложение с помощью потоков в лоб.
☕️О семействе протоколов JGROUPS, а также про устройство кластера Naumen Service Management Platform.


Встреча пройдет онлайн, ссылку на трансляцию отправим в телеграм-боте после регистрации 😉

→ Зарегистрироваться",Advertisement
